experiment,domain,dataset,seed,model,variant,fit_samples,train_samples,test_samples,n_features,fit_seconds,predict_seconds,split_protocol,accuracy,macro_f1,balanced_accuracy,mcc,minority_recall,g_mean,gb_feature_seconds,n_regions,fit_subset
raw_baseline_v1,industrial_tabular,aps_failure,21,random_forest,raw,48000,48000,16000,170,6.600687541002117,0.04452562500227941,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9890625,0.8521053151712321,0.7848853333333333,0.7273022414243889,0.5706666666666667,0.7550863191273786,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,random_forest,ugbfeat,48000,48000,16000,180,7.964678083000763,0.04128549999586539,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.988875,0.8488322717622081,0.7808853333333333,0.7217865121774147,0.5626666666666666,0.7497749777988949,0.8999877500027651,9.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,xgboost,kmeansfeat,48000,48000,16000,180,1.6857525000013993,0.006716999996569939,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9899375,0.8991277013149308,0.9349866666666666,0.801292606028285,0.8773333333333333,0.9332074581785124,0.8999877500027651,9.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,21,xgboost,raw,48000,48000,16000,170,1.333597999997437,0.00524329200561624,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.99,0.8989127433754678,0.9311146666666666,0.800315196235808,0.8693333333333333,0.9290627477911991,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,21,xgboost,ugbfeat,48000,48000,16000,180,1.5707664169967757,0.006085749999328982,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.989625,0.89685326335925,0.9361280000000001,0.7973153213860058,0.88,0.934443834588254,0.8999877500027651,9.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,catboost,kmeansfeat,48000,48000,16000,180,2.04298800000106,0.013109042003634386,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9779375,0.8285667889129942,0.9639786666666668,0.691100988817169,0.9493333333333334,0.9638674099688194,0.3146690419962397,2.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,42,catboost,raw,48000,48000,16000,170,1.6356253750054748,0.0040745419973973185,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9783125,0.829626309306623,0.9602666666666666,0.6913414405629152,0.9413333333333334,0.9600799966669444,,,
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,catboost,ugbfeat,48000,48000,16000,180,1.926551999997173,0.00794920800399268,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9775625,0.8269080323261303,0.965088,0.6889520021774701,0.952,0.964999249740641,0.3146690419962397,2.0,12000.0
unsupervised_local_structure_v1,industrial_tabular,aps_failure,42,extra_trees,kmeansfeat,48000,48000,16000,180,3.5883178750009392,0.05883170800370863,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.98925,0.8571947782274343,0.7940906666666667,0.7335775794509712,0.5893333333333334,0.7672381777084176,0.3146690419962397,2.0,12000.0
raw_baseline_v1,industrial_tabular,aps_failure,42,extra_trees,raw,48000,48000,16000,170,2.864779499999713,0.044726291998813394,official first-60000 train / last-16000 test; seeded stratified 80/20 validation inside official train,0.9888125,0.8511452383289992,0.7886613333333333,0.7215228937848064,0.5786666666666667,0.7601900674612019,,,
