experiment_id,base_config,family,method,condition_a_oracle,condition_b_oracle,positive_global_regret,positive_global_point_fraction,mean_global_regret,max_global_regret,estimated_eps01_oracle_regret,estimated_eps01_condition_a_vs_global,estimated_eps01_cost,estimated_eps01_risk,marginal_value_mean,marginal_value_variance,region_value_variance,region_scores_json
v2thy-C02-s7,C02,C,kmeans,True,True,True,0.3,0.019399999999999994,0.16099999999999998,0,True,5,0.14,0.16099999999999998,0,0.0,"[0.16099999999999998, 0.16099999999999998, 0.16099999999999998, 0.16099999999999998]"
v2thy-C03-s1,C03,C,kmeans,True,True,True,0.8,0.005400000000000005,0.015000000000000013,0,False,5,0.318,0.011605945640055805,0.0008025903986964832,0.0,"[0.011605945640055805, 0.011605945640055805, 0.011605945640055805, 0.011605945640055805]"
v2thy-C03-s2026,C03,C,kmeans,True,True,True,0.8,0.012700000000000012,0.02100000000000002,0,False,5,0.318,0.020281535937300883,0.0012289122155773745,0.0,"[0.020281535937300883, 0.020281535937300883, 0.020281535937300883, 0.020281535937300883]"
v2thy-C03-s21,C03,C,kmeans,True,True,True,0.8,0.010600000000000009,0.026000000000000023,0,False,5,0.318,0.008131115791084593,0.0005899865709436189,4.470426601763103e-06,"[0.008131115791084593, 0.013540306282696148, 0.009032436349068352, 0.00903230552750896]"
v2thy-C03-s42,C03,C,kmeans,True,False,True,0.8,0.004500000000000004,0.008000000000000007,0,False,5,0.318,0.0162161766084053,0.0010492360588228047,1.949477195656845e-05,"[0.0162161766084053, 0.027020809069027103, 0.020268447710861236, 0.0162161766084053]"
v2thy-C03-s7,C03,C,kmeans,True,True,True,0.8,0.01140000000000001,0.020000000000000018,0,False,5,0.318,0.0162512254796447,0.0010481042196099303,3.0914234379391613e-06,"[0.0162512254796447, 0.0162512254796447, 0.0162512254796447, 0.02031171703474106]"
v2thy-C04-s1,C04,C,kmeans,True,True,True,0.8,0.00999999999999999,0.01899999999999999,0,True,5,0.248,0.021976280081925245,0.002774713934349495,1.3788638742034644e-05,"[0.021976280081925245, 0.021976280081925245, 0.021976280081925245, 0.030551792114695345]"
v2thy-C04-s2026,C04,C,kmeans,True,True,True,0.8,0.009800000000000008,0.017000000000000015,0,True,5,0.248,0.025246212121212124,0.003162805584251608,2.9805097091296513e-05,"[0.025246212121212124, 0.025246212121212124, 0.025246212121212124, 0.037854166666666675]"
v2thy-C04-s21,C04,C,kmeans,True,True,True,0.8,0.007700000000000007,0.014000000000000012,0,True,11,0.242,0.03814285714285715,0.004245686224489797,0.0,"[0.03814285714285715, 0.03814285714285715, 0.03814285714285715, 0.03814285714285715]"
v2thy-C04-s42,C04,C,kmeans,True,True,True,0.8,0.008100000000000007,0.017000000000000015,0,True,5,0.248,0.03779280533063428,0.004271956471079277,0.0002671377304799043,"[0.03779280533063428, 0.07553846153846155, 0.03779280533063428, 0.03779280533063428]"
v2thy-C04-s7,C04,C,kmeans,False,True,True,0.8,0.019499999999999997,0.03,0,True,5,0.248,0.030871764705882355,0.003608450613763938,0.0,"[0.030871764705882355, 0.030871764705882355, 0.030871764705882355, 0.030871764705882355]"
