v1_id,v2_id,nearest_center_gap,center_minus_radius_gap,gap_shift,sign_flip,failure_threshold_flip
altv1-gx40-original-s1,altv2-gx40-original-s1,-0.005555555555555536,-0.005555555555555536,0.0,0,0
altv1-gx40-original-s2026,altv2-gx40-original-s2026,0.0,0.0,0.0,0,0
altv1-gx40-original-s21,altv2-gx40-original-s21,-0.005555555555555536,-0.005555555555555536,0.0,0,0
altv1-gx40-original-s42,altv2-gx40-original-s42,0.0,-0.005555555555555536,-0.005555555555555536,1,0
altv1-gx40-original-s7,altv2-gx40-original-s7,-0.005555555555555536,-0.005555555555555536,0.0,0,0
altv1-sw04-adaptive-s1,altv2-sw04-adaptive-s1,-0.03888888888888886,-0.0444444444444444,-0.005555555555555536,0,0
altv1-sw04-adaptive-s2026,altv2-sw04-adaptive-s2026,-0.05555555555555558,-0.0444444444444444,0.011111111111111183,0,1
altv1-sw04-adaptive-s21,altv2-sw04-adaptive-s21,-0.07222222222222219,-0.05555555555555558,0.016666666666666607,0,0
altv1-sw04-adaptive-s42,altv2-sw04-adaptive-s42,-0.061111111111111116,-0.02777777777777779,0.033333333333333326,0,1
altv1-sw04-adaptive-s7,altv2-sw04-adaptive-s7,-0.12222222222222223,-0.07222222222222219,0.050000000000000044,0,0
altv1-sw04-original-s1,altv2-sw04-original-s1,-0.07777777777777783,-0.02777777777777779,0.050000000000000044,0,1
altv1-sw04-original-s2026,altv2-sw04-original-s2026,-0.016666666666666607,-0.016666666666666607,0.0,0,0
altv1-sw04-original-s21,altv2-sw04-original-s21,-0.0444444444444444,-0.02777777777777779,0.016666666666666607,0,0
altv1-sw04-original-s42,altv2-sw04-original-s42,-0.02777777777777779,-0.01666666666666672,0.011111111111111072,0,0
altv1-sw04-original-s7,altv2-sw04-original-s7,-0.06666666666666665,-0.06666666666666665,0.0,0,0
altv1-sw08-adaptive-s1,altv2-sw08-adaptive-s1,-0.005555555555555536,-0.011111111111111072,-0.005555555555555536,0,0
altv1-sw08-adaptive-s2026,altv2-sw08-adaptive-s2026,-0.1166666666666667,-0.05555555555555558,0.061111111111111116,0,0
altv1-sw08-adaptive-s21,altv2-sw08-adaptive-s21,-0.11111111111111105,-0.02777777777777768,0.08333333333333337,0,1
altv1-sw08-adaptive-s42,altv2-sw08-adaptive-s42,-0.09999999999999998,-0.0444444444444444,0.05555555555555558,0,1
altv1-sw08-adaptive-s7,altv2-sw08-adaptive-s7,-0.10555555555555551,-0.04444444444444451,0.061111111111111005,0,1
altv1-sw08-original-s1,altv2-sw08-original-s1,-0.05555555555555547,-0.016666666666666607,0.03888888888888886,0,1
altv1-sw08-original-s2026,altv2-sw08-original-s2026,-0.061111111111111116,-0.02777777777777779,0.033333333333333326,0,1
