experiment_id,dataset,seed,method,n_groups,purity_threshold,variant,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-anti-gb-v1-adult-s7,adult,7,tree,116,0.95,matched_full,0.718,0.7742290598290599,0.7022489705416535,-0.5001739577065406,0.116,0.07406644936451773,0.5645,0.6058884501218089,0.574853,-0.3974521704845997,-0.45003758499333724,0.07696943164282931,2.557213857819508,0.763,0.712531794347429
privacy-anti-gb-v1-adult-s21,adult,21,granular_ball,79,0.8,R8_center_radius_count_purity,0.611,0.732079772079772,0.6108283753135133,0.23151936086014072,0.079,0.09707454267868948,0.514,0.5732617967491492,0.5711255,-0.09572358365630618,0.24399419313744783,0.07645460322788002,2.5362040206959837,0.805,0.6759930812061032
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical,79,0.8,matched_full,0.882,0.8729185185185185,0.8650941368539953,-0.8954620582468539,0.079,0.04621165019606016,0.6295,0.6631331955149371,0.683643,0.20056199301440528,0.18773125608568647,0.03665120017561524,1.791932791381723,0.797,0.7103273301169679
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical_average,79,0.8,matched_full,0.797,0.7209663817663817,0.7743218259698881,-0.4019477746515747,0.079,0.06377939910311757,0.5115,0.5810226207267376,0.5964285,0.195121690128977,-0.3925531890200133,0.047542987027282574,2.049773883284867,0.798,0.6242559523809523
privacy-anti-gb-v1-adult-s21,adult,21,hierarchical_complete,79,0.8,matched_full,0.855,0.8499122507122507,0.8338206018903194,-0.7485647359837715,0.079,0.05440378492942189,0.6025,0.6445421877448849,0.649813,0.39403489616954024,-0.7393751423727303,0.040166104651662767,1.899299555945463,0.798,0.6807656567061338
privacy-anti-gb-v1-adult-s21,adult,21,kmeans,79,0.8,R4_center_radius_count,0.879,0.8777481481481482,0.8622180166454301,-0.7832637676284331,0.079,0.046213677805442326,0.615,0.6464083853183907,0.6688649999999999,0.1408423847655699,0.000827653359298929,0.036976959633097155,1.791332835966017,0.802,0.7196404601294751
privacy-anti-gb-v1-adult-s21,adult,21,kmeans_tuned,79,0.8,matched_full,0.881,0.8744182336182337,0.8642790422890537,-0.44764944009636526,0.079,0.04620007268571823,0.555,0.620428892527177,0.646482,0.014579843792188846,-0.02473222979552094,0.03644129613640821,1.7825666186338094,0.816,0.7167208591979506
privacy-anti-gb-v1-adult-s21,adult,21,knn_local_prototypes,79,0.8,matched_full,0.804,0.840225641025641,0.773683554184314,-0.2707191182220372,0.079,0.05691747502180714,0.507,0.5741460615610448,0.5685505,0.13513995329581657,-0.34403572393095544,0.04355684026776598,1.9686600880192149,0.808,0.7220871256860975
privacy-anti-gb-v1-adult-s21,adult,21,oracle_supervised,79,0.8,matched_full,0.867,0.8569299145299145,0.8475733796649136,-0.6381620787905667,0.079,0.0485755528866479,0.6015,0.6212720080562842,0.635715,,0.05284810126582279,0.03881113336822178,1.8360304019498626,0.752,0.6832063603987513
privacy-anti-gb-v1-adult-s21,adult,21,random,79,0.8,matched_full,0.621,0.6720820512820513,0.6019070647315918,-0.3602193016854119,0.079,0.1176729024839963,0.4785,0.49240241174751526,0.49276899999999996,0.58629321040542,-0.3519230769230769,0.1085422552694686,3.0603535566259614,0.753,0.43348493918564035
