experiment_id,dataset,seed,method,variant,n_groups,attribute_accuracy,attribute_auc,attribute_macro_f1,ball_size_attack_spearman,compression_ratio,distribution_wasserstein,membership_accuracy,membership_pr_auc,membership_roc_auc,purity_attack_spearman,radius_attack_spearman,reconstruction_mse,reconstruction_nn_distance,utility_accuracy,utility_macro_f1
privacy-leakage-v1-covertype-s42,covertype,42,granular_ball,R8_center_radius_count_purity,523,0.923,0.9285217140868564,0.9229259318204794,-0.26232044505331803,0.523,0.012477332942000964,0.5915,0.8393897821411682,0.839685,0.18152362995197638,-0.26138232488058016,0.01288813644024079,0.8478454415930694,0.624,0.3097011610966071
privacy-leakage-v1-covertype-s42,covertype,42,hierarchical,matched_full,523,0.976,0.9712198848795395,0.975999615993856,-0.35024000207713235,0.523,0.004030937846977477,0.5895,0.8935064604623598,0.8952509999999999,0.20462340087109368,-0.3508547760997435,0.005362411041284588,0.5896900183281318,0.63,0.35275816524837067
privacy-leakage-v1-covertype-s42,covertype,42,kmeans,R1_center,523,0.963,0.9590158360633442,0.962999962999963,-0.8915320949582555,0.523,0.004513120859893067,0.8425,0.922643049288671,0.9236610000000001,0.5488701841727257,-0.9111043709793875,0.00600133816153888,0.5993298990640616,0.649,0.3649084482168325
privacy-leakage-v1-covertype-s42,covertype,42,kmeans,R2_center_count,523,0.963,0.9590158360633442,0.962999962999963,-0.841610964646085,0.523,0.004513120859893067,0.8595,0.9282672054033919,0.9348840000000002,0.5146556335166188,-0.8860709983942199,0.00600133816153888,0.5993298990640616,0.649,0.3649084482168325
privacy-leakage-v1-covertype-s42,covertype,42,kmeans,R3_center_radius,523,0.963,0.9590158360633442,0.962999962999963,-0.3741241947425318,0.523,0.004483271898633707,0.6015,0.8731861275354035,0.8738104999999999,0.21865802072103854,-0.37308544869161603,0.0060071089962808605,0.599653557895992,0.622,0.3136162239957245
privacy-leakage-v1-covertype-s42,covertype,42,kmeans,R4_center_radius_count,523,0.963,0.9590158360633442,0.962999962999963,-0.3735148988033701,0.523,0.004483271898633707,0.6015,0.8731787670201707,0.8738055000000001,0.21830882252632175,-0.3726052792116914,0.0060071089962808605,0.599653557895992,0.622,0.3136162239957245
privacy-leakage-v1-covertype-s42,covertype,42,random,matched_full,523,0.683,0.7592970371881487,0.6727475066353799,0.44629053291831944,0.523,0.08911185391609532,0.5185,0.5520812097195755,0.5308685,-0.25068904813668086,0.6105184856630634,0.11152817894858702,3.118280766448951,0.462,0.14026559512564868
privacy-leakage-v1-covertype-s42,covertype,42,raw,R0_raw_samples,1000,1.0,1.0,1.0,,1.0,0.0,0.994,0.9999799517024546,0.99998,,,0.0,0.0,0.647,0.424662724509298
privacy-leakage-v1-covertype-s42,covertype,42,tree,matched_full,199,0.768,0.7655430621722487,0.7668576022510301,-0.19745783843884354,0.199,0.05991588516756407,0.58,0.6121157237315912,0.6054660000000001,-0.07559007526222292,-0.4835645379517751,0.06389015588458026,2.345898294360089,0.598,0.2785359124593551
privacy-leakage-v1-covertype-s2026,covertype,2026,granular_ball,R5_center,524,0.945,0.9497657990631962,0.9449933441946476,-0.7893184597889269,0.524,0.009606897095962942,0.772,0.855550019032647,0.8466480000000001,0.2908383578350956,-0.8364977929811844,0.010240022508506688,0.7538807857707644,0.628,0.37786568795270326
