dataset,seed,method,score,target_coverage,threshold,test_coverage,test_risk
breast_cancer,7,gb_adaptive_parameter_free,wilson_lower,0.9,0.3425916819988613,0.8301886792452831,0.045454545454545414
breast_cancer,21,gb_fixed_p090,train_purity,0.8,0.9070796460176991,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,train_purity,0.9,0.9070796460176991,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,cal_purity,0.8,0.803921568627451,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,cal_purity,0.9,0.803921568627451,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,laplace_purity,0.8,0.7924528301886793,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,laplace_purity,0.9,0.7924528301886793,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,wilson_lower,0.8,0.6956644018548084,1.0,0.08771929824561409
breast_cancer,21,gb_fixed_p090,wilson_lower,0.9,0.6956644018548084,1.0,0.08771929824561409
breast_cancer,21,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9693877551020408,0.03157894736842104
breast_cancer,21,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9693877551020408,0.03157894736842104
breast_cancer,21,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.8571428571428571,0.023809523809523836
breast_cancer,21,gb_adaptive_parameter_free,cal_purity,0.9,0.75,0.9081632653061225,0.0337078651685393
breast_cancer,21,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.9081632653061225,0.0337078651685393
breast_cancer,21,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,0.9081632653061225,0.0337078651685393
breast_cancer,21,gb_adaptive_parameter_free,wilson_lower,0.8,0.3425916819988613,0.7857142857142857,0.038961038961038974
breast_cancer,21,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9081632653061225,0.0337078651685393
digits,1,gb_fixed_p090,train_purity,0.8,0.9537037037037037,0.8240469208211144,0.06761565836298933
digits,1,gb_fixed_p090,train_purity,0.9,0.9444444444444444,0.873900293255132,0.06375838926174493
digits,1,gb_fixed_p090,cal_purity,0.8,0.8571428571428571,0.8181818181818182,0.02508960573476704
digits,1,gb_fixed_p090,cal_purity,0.9,0.775,0.9853372434017595,0.07738095238095233
digits,1,gb_fixed_p090,laplace_purity,0.8,0.7619047619047619,0.8299120234604106,0.0742049469964664
digits,1,gb_fixed_p090,laplace_purity,0.9,0.75,0.967741935483871,0.07878787878787874
digits,1,gb_fixed_p090,wilson_lower,0.8,0.5492802716530588,0.750733137829912,0.078125
digits,1,gb_fixed_p090,wilson_lower,0.9,0.3684031498640387,0.967741935483871,0.07878787878787874
digits,1,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9903536977491961,0.0714285714285714
digits,1,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9903536977491961,0.0714285714285714
digits,1,gb_adaptive_parameter_free,cal_purity,0.8,0.75,0.842443729903537,0.04961832061068705
digits,1,gb_adaptive_parameter_free,cal_purity,0.9,0.5,0.9614147909967846,0.07023411371237454
digits,1,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.842443729903537,0.04961832061068705
digits,1,gb_adaptive_parameter_free,laplace_purity,0.9,0.5,0.9614147909967846,0.07023411371237454
digits,1,gb_adaptive_parameter_free,wilson_lower,0.8,0.32008652958872424,0.752411575562701,0.06837606837606836
digits,1,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9421221864951769,0.06484641638225253
digits,7,gb_fixed_p090,train_purity,0.8,0.9393939393939394,0.8472622478386167,0.11904761904761907
digits,7,gb_fixed_p090,train_purity,0.9,0.9245283018867925,0.9423631123919308,0.10703363914373087
digits,7,gb_fixed_p090,cal_purity,0.8,0.7777777777777778,0.8040345821325648,0.06810035842293904
digits,7,gb_fixed_p090,cal_purity,0.9,0.6666666666666666,0.9798270893371758,0.11470588235294121
digits,7,gb_fixed_p090,laplace_purity,0.8,0.6666666666666666,0.8242074927953891,0.06643356643356646
digits,7,gb_fixed_p090,laplace_purity,0.9,0.6585365853658537,0.9423631123919308,0.11314984709480125
digits,7,gb_fixed_p090,wilson_lower,0.8,0.5337049012945967,0.7780979827089337,0.11481481481481481
digits,7,gb_fixed_p090,wilson_lower,0.9,0.3684031498640387,0.8674351585014409,0.11960132890365449
digits,7,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9573770491803278,0.11643835616438358
digits,7,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9573770491803278,0.11643835616438358
digits,7,gb_adaptive_parameter_free,cal_purity,0.8,0.75,0.8426229508196721,0.07392996108949412
digits,7,gb_adaptive_parameter_free,cal_purity,0.9,0.6,0.9081967213114754,0.09747292418772568
digits,7,gb_adaptive_parameter_free,laplace_purity,0.8,0.6666666666666666,0.8786885245901639,0.08955223880597019
digits,7,gb_adaptive_parameter_free,laplace_purity,0.9,0.5714285714285714,0.9081967213114754,0.09747292418772568
digits,7,gb_adaptive_parameter_free,wilson_lower,0.8,0.2713383725197525,0.7442622950819672,0.10132158590308371
digits,7,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9081967213114754,0.09747292418772568
digits,21,gb_fixed_p090,train_purity,0.8,0.9361702127659575,0.7891737891737892,0.09025270758122739
digits,21,gb_fixed_p090,train_purity,0.9,0.9230769230769231,0.905982905982906,0.0911949685534591
digits,21,gb_fixed_p090,cal_purity,0.8,0.85,0.8632478632478633,0.0726072607260726
digits,21,gb_fixed_p090,cal_purity,0.9,0.85,0.8632478632478633,0.0726072607260726
digits,21,gb_fixed_p090,laplace_purity,0.8,0.8333333333333334,0.7407407407407407,0.07692307692307687
digits,21,gb_fixed_p090,laplace_purity,0.9,0.6666666666666666,0.8632478632478633,0.0726072607260726
digits,21,gb_fixed_p090,wilson_lower,0.8,0.5492802716530588,0.7663817663817664,0.0780669144981413
digits,21,gb_fixed_p090,wilson_lower,0.9,0.39101158302074135,0.8490028490028491,0.09395973154362414
digits,21,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9900332225913622,0.07718120805369133
digits,21,gb_adaptive_parameter_free,train_purity,0.9,1.0,0.9900332225913622,0.07718120805369133
digits,21,gb_adaptive_parameter_free,cal_purity,0.8,1.0,0.8837209302325582,0.07518796992481203
digits,21,gb_adaptive_parameter_free,cal_purity,0.9,0.7777777777777778,0.9235880398671097,0.07194244604316546
digits,21,gb_adaptive_parameter_free,laplace_purity,0.8,0.7142857142857143,0.6810631229235881,0.07804878048780484
digits,21,gb_adaptive_parameter_free,laplace_purity,0.9,0.6666666666666666,0.9235880398671097,0.07194244604316546
digits,21,gb_adaptive_parameter_free,wilson_lower,0.8,0.3684031498640387,0.7009966777408638,0.07582938388625593
digits,21,gb_adaptive_parameter_free,wilson_lower,0.9,0.22360679774997896,0.9534883720930233,0.06968641114982577
dry_bean,1,gb_fixed_p090,train_purity,0.8,0.9411764705882353,0.9144542772861357,0.1064516129032258
dry_bean,1,gb_fixed_p090,train_purity,0.9,0.9411764705882353,0.9144542772861357,0.1064516129032258
dry_bean,1,gb_fixed_p090,cal_purity,0.8,0.8679245283018868,0.8938053097345132,0.06270627062706269
dry_bean,1,gb_fixed_p090,cal_purity,0.9,0.8,0.9144542772861357,0.06451612903225812
dry_bean,1,gb_fixed_p090,laplace_purity,0.8,0.8545454545454545,0.8053097345132744,0.04761904761904767
dry_bean,1,gb_fixed_p090,laplace_purity,0.9,0.6666666666666666,0.9203539823008849,0.0641025641025641
dry_bean,1,gb_fixed_p090,wilson_lower,0.8,0.6069622310029172,0.8053097345132744,0.04761904761904767
dry_bean,1,gb_fixed_p090,wilson_lower,0.9,0.2713383725197525,0.8849557522123894,0.05666666666666664
dry_bean,1,gb_adaptive_parameter_free,train_purity,0.8,1.0,0.9299363057324841,0.06164383561643838
