source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.95,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5555736111111111,0.5605554575364928,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.95,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5418624999999999,0.5415992239328264,0.008333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.95,1200,600,32,0.25,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5311027777777777,0.5322788179334964,0.02,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.95,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5377666666666666,0.53709866476276,0.016666666666666666,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,2,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.95,1200,600,32,0.15625,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5144083333333334,0.5303225100932839,0.041666666666666664,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.95,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5712361111111111,0.5759308451175216,0.023333333333333334,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.95,1200,600,35,0.3142857142857143,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5274083333333333,0.5457447216027658,0.041666666666666664,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.95,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5601097222222222,0.5700228170469156,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,3,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.95,1200,600,35,0.22857142857142856,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5348694444444445,0.549693570535243,0.03,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_1,logistic,0.95,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5644638888888889,0.5602185264600492,0.035,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,granular_ball,release_1,random_forest,0.95,1200,600,32,0.3125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5550166666666667,0.5597065826258476,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_1,logistic,0.95,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5680569444444445,0.5622882195904959,0.01,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,4,real_independent_shadow_target_cross_release,matched_kmeans,release_1,random_forest,0.95,1200,600,32,0.28125,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5699902777777778,0.5714430792071281,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5540624999999999,0.5572554971558548,0.018333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5652736111111111,0.5613089986872846,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.569101388888889,0.5595677036291651,0.023333333333333334,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,0,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.95,1200,600,35,0.2571428571428571,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5451208333333333,0.5420902842131603,0.018333333333333333,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_2,logistic,0.95,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5444472222222222,0.5609953266910476,0.025,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,granular_ball,release_2,random_forest,0.95,1200,600,34,0.23529411764705882,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5346652777777778,0.5459995853715973,0.02666666666666667,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_2,logistic,0.95,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.538025,0.5618395499853686,0.04,
uci-51,uci-51_labeled_train_validation,uci-51,1,6,1,real_independent_shadow_target_cross_release,matched_kmeans,release_2,random_forest,0.95,1200,600,34,0.08823529411764706,"official UCI ad.data; all 1,558 documented numeric fields retained; '?' is unknown and handled only by per-scope median imputation",0.5735638888888889,0.5721513278285975,0.023333333333333334,
