source_dataset_id,task_id,parent_dataset,outer_seed,shadow_release_count,target_release_id,attack_protocol,method,release,attack,threshold,candidate_pool_size,negative_count,reference_group_count,shadow_group_count,target_group_count,number_of_balls,small_ball_ratio,loader_note,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_2,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7251929012345679,0.732791244433105,0.28703703703703703,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6618827160493828,0.6754274646509746,0.19444444444444445,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_2,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.761033950617284,0.762695387348041,0.2962962962962963,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6599537037037038,0.6703716786374123,0.09259259259259259,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_3,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7237268518518518,0.7286367683609951,0.28703703703703703,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,logistic,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.6587962962962963,0.6745714883815194,0.1111111111111111,
uci-253,micromass_pure_species,MicroMass,1,6,4,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_3,random_forest,0.9,228,120,44,81,88,31,0.967741935483871,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7489583333333333,0.7468680922472405,0.28703703703703703,
uci-253,micromass_pure_species,MicroMass,1,6,0,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,logistic,0.95,228,111,44,81,88,32,0.96875,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7326557326557326,0.7589184334726943,0.20512820512820512,
uci-253,micromass_pure_species,MicroMass,1,6,0,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,granular_ball,release_1,random_forest,0.95,228,111,44,81,88,32,0.96875,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7301532301532301,0.7563309732115393,0.24786324786324787,
uci-253,micromass_pure_species,MicroMass,1,6,0,real_strain_disjoint_reference_shadow_target_and_membership_cross_release,matched_kmeans,release_1,logistic,0.95,228,111,44,81,88,32,0.9375,official UCI pure-reference spectra only; species target with bacterial-strain groups; mixture spectra excluded,0.7842457842457842,0.8107840047751269,0.3333333333333333,
