dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_3,granular_ball,logistic,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.5468780995834159,0.5636036465767982,0.04225352112676056,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_3,granular_ball,random_forest,569,30,2,13,21.846153846153847,3.0,1,91,1,0.38461538461538464,0.6153846153846154,1.9669289668144572,1.862836019759863,0.9857993080264996,1.0,0.978021978021978,1.0,0.5097078952588772,0.5126097969322215,0.007042253521126761,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_3,matched_kmeans,logistic,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.552172188057925,0.5495405910024824,0.02464788732394366,nan
breast_cancer,sklearn.load_breast_cancer,1,0.9,release_3,matched_kmeans,random_forest,569,30,2,13,21.846153846153847,21.0,1,45,1,0.15384615384615385,0.15384615384615385,3.038010582546752,2.8020315604538992,0.9408383283383283,0.975,0.9333333333333333,1.0,0.5961118825629835,0.5851525446411436,0.02464788732394366,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_1,granular_ball,logistic,569,30,2,21,13.523809523809524,2.0,1,91,5,0.5238095238095238,0.7142857142857143,1.6374274362407282,1.5801531465621712,0.9478417485062003,1.0,1.0,1.0,0.5469400912517358,0.5675643609163522,0.04225352112676056,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_1,granular_ball,random_forest,569,30,2,21,13.523809523809524,2.0,1,91,5,0.5238095238095238,0.7142857142857143,1.6374274362407282,1.5801531465621712,0.9478417485062003,1.0,1.0,1.0,0.538534021027574,0.5711327500976523,0.04225352112676056,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_1,matched_kmeans,logistic,569,30,2,21,13.523809523809524,12.0,1,37,3,0.23809523809523808,0.3333333333333333,2.439205940642342,2.501371885949285,0.9611842101682709,1.0,0.9230769230769231,1.0,0.6751636580043643,0.676518382793416,0.06338028169014084,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_1,matched_kmeans,random_forest,569,30,2,21,13.523809523809524,12.0,1,37,3,0.23809523809523808,0.3333333333333333,2.439205940642342,2.501371885949285,0.9611842101682709,1.0,0.9230769230769231,1.0,0.6300337234675659,0.5908969971649631,0.01056338028169014,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_2,granular_ball,logistic,569,30,2,21,13.523809523809524,2.0,1,91,5,0.5238095238095238,0.7142857142857143,1.6374274362407282,1.5801531465621712,0.9478417485062003,1.0,1.0,1.0,0.5380132910136878,0.5643376898543284,0.028169014084507043,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_2,granular_ball,random_forest,569,30,2,21,13.523809523809524,2.0,1,91,5,0.5238095238095238,0.7142857142857143,1.6374274362407282,1.5801531465621712,0.9478417485062003,1.0,1.0,1.0,0.5211639555643721,0.5604504470667087,0.056338028169014086,nan
breast_cancer,sklearn.load_breast_cancer,1,0.95,release_2,matched_kmeans,logistic,569,30,2,21,13.523809523809524,12.0,1,37,3,0.23809523809523808,0.3333333333333333,2.439205940642342,2.501371885949285,0.9611842101682709,1.0,0.9230769230769231,1.0,0.670737452886332,0.6739901101322889,0.056338028169014086,nan
