generator_regime,shadow_seed,target_seed,attack_protocol,method,release,attack,threshold,number_of_balls,small_ball_ratio,candidate_count,negative_count,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr,dimension,redundant_fraction,label_noise
d60_redundancy0.0_noise0.05,fixed_pool_suite,2008,fixed_noise_same_pool_cross_release,granular_ball,release_1,logistic,0.9,59,0.7966101694915254,600,300,0.7911222222222223,0.8310033942314088,0.29333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2008,fixed_noise_same_pool_cross_release,granular_ball,release_1,random_forest,0.9,59,0.7966101694915254,600,300,0.7913777777777777,0.8232969809773422,0.31333333333333335,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2008,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,logistic,0.9,59,0.8983050847457628,600,300,0.7609333333333335,0.7683476586842415,0.22333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,fixed_pool_suite,2008,fixed_noise_same_pool_cross_release,matched_kmeans,release_1,random_forest,0.9,59,0.8983050847457628,600,300,0.7794222222222223,0.8016951729210786,0.27,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,granular_ball,release_2,logistic,0.9,35,0.7142857142857143,600,300,0.7643333333333333,0.7765056479059314,0.18,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,granular_ball,release_2,logistic,0.9,35,0.7142857142857143,600,300,0.7469555555555556,0.7594927776253869,0.18333333333333332,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,granular_ball,release_2,random_forest,0.9,35,0.7142857142857143,600,300,0.7417111111111112,0.7648122122367994,0.23666666666666666,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,granular_ball,release_2,random_forest,0.9,35,0.7142857142857143,600,300,0.7330222222222222,0.7527321905954532,0.17,,60,0.0,0.05
d60_redundancy0.0_noise0.05,independent_suite,22001,independent_pool_cross_release,matched_kmeans,release_2,logistic,0.9,35,0.8,600,300,0.7046333333333332,0.7061700521972366,0.10333333333333333,,60,0.0,0.05
d60_redundancy0.0_noise0.05,not_applicable,22001,same_release_cv,matched_kmeans,release_2,logistic,0.9,35,0.8,600,300,0.7170222222222222,0.7199369943817041,0.13666666666666666,,60,0.0,0.05
