dataset,source,generator,implementation,decision_rule,perturbation_type,perturbation_strength,seed,n_common_samples,ari,nmi,vi,prediction_agreement,accuracy_original,accuracy_perturbed,accuracy_change,ball_count_original,ball_count_perturbed
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,500,0.9995737375424711,0.9930024843601568,0.028289238374304304,0.828,0.766,0.686,0.07999999999999996,60,62
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,313,500,0.8013746887074845,0.6894023614487521,0.598363919508395,0.88,0.872,0.832,0.040000000000000036,2,14
spambase,UCI id=94 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,313,500,0.7618765810182374,0.873736722017685,0.6405212125242885,0.86,0.786,0.758,0.028000000000000025,60,87
spambase,UCI id=94 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,313,500,0.855492596746491,0.9292046371531221,0.5520597056659549,0.912,0.814,0.782,0.03199999999999992,139,194
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,500,0.9996900557836451,0.9945250079901248,0.02198425876636101,0.992,0.766,0.758,0.008000000000000007,60,57
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,label_flip,0.05,911,500,0.7920057295609879,0.6989016364234106,0.5721795783498116,0.908,0.872,0.852,0.020000000000000018,2,11
spambase,UCI id=94 via ucimlrepo,gbc_multiclass_cleanroom,repository_cleanroom,nearest_center,label_flip,0.05,911,500,0.6786656617101662,0.8051201759158967,1.0763804290819472,0.856,0.786,0.782,0.0040000000000000036,60,119
spambase,UCI id=94 via ucimlrepo,gbc_confidence_bound_control,repository_internal_control,nearest_center,label_flip,0.05,911,500,0.1513371996772695,0.8338339258149515,1.446858834453855,0.868,0.814,0.806,0.007999999999999896,139,246
spambase,UCI id=94 via ucimlrepo,tree_kmeans_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,495,0.33452840533493783,0.5626502196995598,1.856412919275222,0.796,0.766,0.818,0.051999999999999935,60,58
spambase,UCI id=94 via ucimlrepo,tree_class_means_binary,repository_cleanroom,nearest_center,sample_deletion,0.01,101,495,1.0,1.0,-4.440892098500626e-16,0.998,0.872,0.87,0.0020000000000000018,2,2
