dataset,seed,threshold,method,ball_size_bin,sample_count,member_count,roc_auc
confirm_d100_redundant0_noise0.05,13,0.99,granular_ball,6-10,99,34,0.939366515837104
confirm_d100_redundant0_noise0.05,13,0.99,granular_ball,>20,238,124,0.7652801358234295
confirm_d100_redundant0_noise0.05,13,0.99,matched_kmeans,1-2,59,59,
confirm_d100_redundant0_noise0.05,13,0.99,matched_kmeans,11-20,75,36,0.8817663817663818
confirm_d100_redundant0_noise0.05,13,0.99,matched_kmeans,6-10,9,7,1.0
confirm_d100_redundant0_noise0.05,13,0.99,matched_kmeans,>20,457,198,0.7236847236847237
confirm_d100_redundant0_noise0.05,73,0.9,granular_ball,1-2,47,47,
confirm_d100_redundant0_noise0.05,73,0.9,granular_ball,11-20,105,61,0.868107302533532
confirm_d100_redundant0_noise0.05,73,0.9,granular_ball,>20,448,192,0.7699788411458335
confirm_d100_redundant0_noise0.05,73,0.9,matched_kmeans,1-2,47,47,
confirm_d100_redundant0_noise0.05,73,0.9,matched_kmeans,11-20,36,17,0.8978328173374613
confirm_d100_redundant0_noise0.05,73,0.9,matched_kmeans,>20,517,236,0.655316967247723
confirm_d100_redundant0_noise0.05,73,0.95,granular_ball,1-2,80,80,
confirm_d100_redundant0_noise0.05,73,0.95,granular_ball,11-20,191,86,0.8736434108527131
confirm_d100_redundant0_noise0.05,73,0.95,granular_ball,3-5,33,17,0.9558823529411764
confirm_d100_redundant0_noise0.05,73,0.95,granular_ball,6-10,67,36,0.974910394265233
confirm_d100_redundant0_noise0.05,73,0.95,granular_ball,>20,229,81,0.8424257590924257
confirm_d100_redundant0_noise0.05,73,0.95,matched_kmeans,1-2,77,77,
confirm_d100_redundant0_noise0.05,73,0.95,matched_kmeans,11-20,81,47,0.886107634543179
confirm_d100_redundant0_noise0.05,73,0.95,matched_kmeans,3-5,3,3,
confirm_d100_redundant0_noise0.05,73,0.95,matched_kmeans,>20,439,173,0.7015515667782172
confirm_d100_redundant0_noise0.05,73,0.99,granular_ball,1-2,104,86,1.0
confirm_d100_redundant0_noise0.05,73,0.99,granular_ball,11-20,354,147,0.8717342009267475
confirm_d100_redundant0_noise0.05,73,0.99,granular_ball,3-5,33,21,0.9682539682539683
confirm_d100_redundant0_noise0.05,73,0.99,granular_ball,6-10,109,46,0.9392684610075914
confirm_d100_redundant0_noise0.05,73,0.99,matched_kmeans,1-2,88,88,
confirm_d100_redundant0_noise0.05,73,0.99,matched_kmeans,11-20,86,46,0.8043478260869564
confirm_d100_redundant0_noise0.05,73,0.99,matched_kmeans,>20,426,166,0.7430722891566266
confirm_d100_redundant0_noise0.05,314,0.9,granular_ball,1-2,100,57,0.8796409628722971
confirm_d100_redundant0_noise0.05,314,0.9,granular_ball,3-5,59,18,0.7859078590785908
confirm_d100_redundant0_noise0.05,314,0.9,granular_ball,6-10,95,34,0.817261330761813
confirm_d100_redundant0_noise0.05,314,0.9,granular_ball,>20,346,191,0.6842425266002365
confirm_d100_redundant0_noise0.05,314,0.9,matched_kmeans,1-2,44,44,
confirm_d100_redundant0_noise0.05,314,0.9,matched_kmeans,>20,556,256,0.7221354166666667
confirm_d100_redundant0_noise0.05,314,0.95,granular_ball,1-2,130,68,0.9302656546489564
confirm_d100_redundant0_noise0.05,314,0.95,granular_ball,3-5,76,27,0.926681783824641
confirm_d100_redundant0_noise0.05,314,0.95,granular_ball,6-10,70,23,0.9287696577243294
confirm_d100_redundant0_noise0.05,314,0.95,granular_ball,>20,324,182,0.7144404890883765
confirm_d100_redundant0_noise0.05,314,0.95,matched_kmeans,1-2,54,54,
confirm_d100_redundant0_noise0.05,314,0.95,matched_kmeans,11-20,68,35,0.9038961038961039
confirm_d100_redundant0_noise0.05,314,0.95,matched_kmeans,>20,478,211,0.6993982640183183
confirm_d100_redundant0_noise0.05,314,0.99,granular_ball,1-2,155,91,0.9613667582417582
confirm_d100_redundant0_noise0.05,314,0.99,granular_ball,11-20,45,27,0.8271604938271605
confirm_d100_redundant0_noise0.05,314,0.99,granular_ball,3-5,100,45,0.9680808080808081
confirm_d100_redundant0_noise0.05,314,0.99,granular_ball,6-10,98,37,0.9517058041648205
confirm_d100_redundant0_noise0.05,314,0.99,granular_ball,>20,202,100,0.7991176470588235
confirm_d100_redundant0_noise0.05,314,0.99,matched_kmeans,1-2,81,81,
confirm_d100_redundant0_noise0.05,314,0.99,matched_kmeans,11-20,54,33,0.8946608946608946
confirm_d100_redundant0_noise0.05,314,0.99,matched_kmeans,>20,465,186,0.7279068871160442
confirm_d100_redundant0_noise0.05,808,0.9,granular_ball,1-2,34,34,
confirm_d100_redundant0_noise0.05,808,0.9,granular_ball,11-20,42,20,0.7636363636363636
confirm_d100_redundant0_noise0.05,808,0.9,granular_ball,6-10,10,7,1.0
confirm_d100_redundant0_noise0.05,808,0.9,granular_ball,>20,514,239,0.7237580829212629
confirm_d100_redundant0_noise0.05,808,0.9,matched_kmeans,1-2,34,34,
confirm_d100_redundant0_noise0.05,808,0.9,matched_kmeans,>20,566,266,0.6877067669172932
confirm_d100_redundant0_noise0.05,808,0.95,granular_ball,1-2,128,63,0.897924297924298
confirm_d100_redundant0_noise0.05,808,0.95,granular_ball,11-20,37,18,0.8976608187134503
confirm_d100_redundant0_noise0.05,808,0.95,granular_ball,3-5,24,6,0.8333333333333334
confirm_d100_redundant0_noise0.05,808,0.95,granular_ball,6-10,61,25,0.9422222222222221
confirm_d100_redundant0_noise0.05,808,0.95,granular_ball,>20,350,188,0.7654649330181246
confirm_d100_redundant0_noise0.05,808,0.95,matched_kmeans,1-2,50,50,
confirm_d100_redundant0_noise0.05,808,0.95,matched_kmeans,>20,550,250,0.7487200000000002
confirm_d100_redundant0_noise0.05,808,0.99,granular_ball,1-2,144,79,0.9848101265822785
confirm_d100_redundant0_noise0.05,808,0.99,granular_ball,11-20,71,41,0.9146341463414634
confirm_d100_redundant0_noise0.05,808,0.99,granular_ball,3-5,46,22,0.9962121212121212
confirm_d100_redundant0_noise0.05,808,0.99,granular_ball,6-10,148,73,0.9848401826484019
confirm_d100_redundant0_noise0.05,808,0.99,granular_ball,>20,191,85,0.8326304106548279
confirm_d100_redundant0_noise0.05,808,0.99,matched_kmeans,1-2,78,78,
confirm_d100_redundant0_noise0.05,808,0.99,matched_kmeans,>20,522,222,0.7558558558558559
confirm_d60_redundant0.1_noise0.15,2,0.9,granular_ball,1-2,264,119,0.9424514633439584
confirm_d60_redundant0.1_noise0.15,2,0.9,granular_ball,11-20,89,45,0.8707070707070708
confirm_d60_redundant0.1_noise0.15,2,0.9,granular_ball,3-5,64,40,0.8624999999999999
confirm_d60_redundant0.1_noise0.15,2,0.9,granular_ball,6-10,43,21,0.9199134199134199
confirm_d60_redundant0.1_noise0.15,2,0.9,granular_ball,>20,140,75,0.6385641025641026
confirm_d60_redundant0.1_noise0.15,2,0.9,matched_kmeans,1-2,91,89,1.0
confirm_d60_redundant0.1_noise0.15,2,0.9,matched_kmeans,11-20,83,42,0.8960511033681765
confirm_d60_redundant0.1_noise0.15,2,0.9,matched_kmeans,6-10,27,9,0.9506172839506173
confirm_d60_redundant0.1_noise0.15,2,0.9,matched_kmeans,>20,399,160,0.7283995815899581
confirm_d60_redundant0.1_noise0.15,2,0.95,granular_ball,1-2,293,151,0.9893666635575039
confirm_d60_redundant0.1_noise0.15,2,0.95,granular_ball,11-20,43,24,0.831140350877193
confirm_d60_redundant0.1_noise0.15,2,0.95,granular_ball,3-5,127,68,0.9850448654037887
confirm_d60_redundant0.1_noise0.15,2,0.95,granular_ball,6-10,137,57,0.9624999999999999
confirm_d60_redundant0.1_noise0.15,2,0.95,matched_kmeans,1-2,133,130,1.0
confirm_d60_redundant0.1_noise0.15,2,0.95,matched_kmeans,11-20,67,24,0.8875968992248062
confirm_d60_redundant0.1_noise0.15,2,0.95,matched_kmeans,3-5,13,4,1.0
