dataset,source,seed,method,release,attack,n_total,pool_samples,reference_samples,feature_count,shadow_runs,selected_count_mean,selection_stability_jaccard,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
sonar,UCI id=151 via ucimlrepo,7,GBFRS,mask_count,random_forest,208,167,41,60,12,2.75,0.1606060606060606,0.4623523857334098,0.4735343690118233,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,7,GBFRS,ranking,logistic,208,167,41,60,12,2.75,0.1606060606060606,0.4690224190412443,0.4730708952277185,0.009036144578313253,nan
sonar,UCI id=151 via ucimlrepo,7,GBFRS,ranking,random_forest,208,167,41,60,12,2.75,0.1606060606060606,0.5007325930706955,0.5053759866666093,0.01706827309236948,nan
sonar,UCI id=151 via ucimlrepo,7,FRFS,mask,logistic,208,167,41,60,12,2.75,0.18888888888888886,0.49720309810671254,0.4866331324718254,0.0050200803212851405,nan
sonar,UCI id=151 via ucimlrepo,7,FRFS,mask,random_forest,208,167,41,60,12,2.75,0.18888888888888886,0.5222905510932621,0.5120078276743858,0.013052208835341365,nan
sonar,UCI id=151 via ucimlrepo,7,FRFS,mask_count,logistic,208,167,41,60,12,2.75,0.18888888888888886,0.49696305061515905,0.48649102074471867,0.0050200803212851405,nan
sonar,UCI id=151 via ucimlrepo,7,FRFS,mask_count,random_forest,208,167,41,60,12,2.75,0.18888888888888886,0.5166359883980366,0.5086760631299709,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,mask,logistic,208,167,41,60,12,2.75,0.1892857142857143,0.5048054320456429,0.4998481914104011,0.012048192771084338,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,mask,random_forest,208,167,41,60,12,2.75,0.1892857142857143,0.5218806774717919,0.5218833416929279,0.020080321285140562,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,mask_count,logistic,208,167,41,60,12,2.75,0.1892857142857143,0.5048392976668579,0.4998666498402251,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,mask_count,random_forest,208,167,41,60,12,2.75,0.1892857142857143,0.5179034590743927,0.518904105372923,0.020080321285140562,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,ranking,logistic,208,167,41,60,12,2.75,0.1892857142857143,0.5001583715815643,0.5047619193958441,0.009036144578313253,nan
sonar,UCI id=151 via ucimlrepo,7,MutualInformation,ranking,random_forest,208,167,41,60,12,2.75,0.1892857142857143,0.5149287626697265,0.5236764822104465,0.018072289156626505,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,mask,logistic,208,167,41,60,12,2.75,0.3377705627705627,0.49550682890291325,0.49812933350112715,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,mask,random_forest,208,167,41,60,12,2.75,0.3377705627705627,0.5179766685790782,0.5165400109098288,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,mask_count,logistic,208,167,41,60,12,2.75,0.3377705627705627,0.49532654427232736,0.4981800639327913,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,mask_count,random_forest,208,167,41,60,12,2.75,0.3377705627705627,0.5211351357812201,0.5196131681158312,0.01706827309236948,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,ranking,logistic,208,167,41,60,12,2.75,0.3377705627705627,0.49161825874928283,0.49404190069135234,0.014056224899598393,nan
sonar,UCI id=151 via ucimlrepo,7,ReliefF,ranking,random_forest,208,167,41,60,12,2.75,0.3377705627705627,0.526018259546121,0.5257511769146401,0.01606425702811245,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,mask,logistic,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.496778781793842,0.49423308639333763,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,mask,random_forest,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.5015677790527189,0.49116566360078284,0.010040160642570281,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,mask_count,logistic,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.49730768311340595,0.49448632717146057,0.01104417670682731,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,mask_count,random_forest,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.5038825938675336,0.49439151166473155,0.009036144578313253,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,ranking,logistic,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.5036385621852489,0.5060791727986743,0.02208835341365462,nan
sonar,UCI id=151 via ucimlrepo,21,GBFRS,ranking,random_forest,208,167,41,60,12,2.4166666666666665,0.09267676767676768,0.49933115398100336,0.49314535704076357,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,21,FRFS,mask,logistic,208,167,41,60,12,2.4166666666666665,0.16237373737373736,0.5298271458851278,0.5152095977511033,0.008032128514056224,nan
sonar,UCI id=151 via ucimlrepo,21,FRFS,mask,random_forest,208,167,41,60,12,2.4166666666666665,0.16237373737373736,0.5242004725250207,0.516845320414489,0.010040160642570281,nan
sonar,UCI id=151 via ucimlrepo,21,FRFS,mask_count,logistic,208,167,41,60,12,2.4166666666666665,0.16237373737373736,0.5303540551093262,0.515796278883603,0.008032128514056224,nan
