dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,separation,density_ratio,minority_fraction,modes,dimension,redundant_fraction,label_noise,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_3,matched_kmeans,logistic,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6603888888888889,0.6933691698885107,0.15,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.9,release_3,matched_kmeans,random_forest,600,60,2,38,7.894736842105263,1.0,1,99,33,0.868421052631579,0.868421052631579,0.9547022656514921,0.0,0.9703073972810816,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.7216222222222222,0.7435904461200031,0.16666666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_1,granular_ball,logistic,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9157555555555557,0.9321407246195411,0.59,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_1,granular_ball,random_forest,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9208055555555557,0.9372762083322508,0.6466666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_1,matched_kmeans,logistic,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8065666666666667,0.8142882934183497,0.30333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_1,matched_kmeans,random_forest,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8546555555555555,0.8768066885242785,0.4533333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_2,granular_ball,logistic,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9335444444444445,0.9435278193519856,0.6066666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_2,granular_ball,random_forest,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9421888888888887,0.9465932327437913,0.6033333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_2,matched_kmeans,logistic,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8227,0.8466976047641912,0.3566666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_2,matched_kmeans,random_forest,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8475111111111111,0.8725993378962316,0.4866666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_3,granular_ball,logistic,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9292888888888889,0.9376789929939549,0.5333333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_3,granular_ball,random_forest,600,60,2,93,3.225806451612903,2.0,1,29,45,0.6774193548387096,0.8924731182795699,2.7334302735097102,1.220007052288324,0.9514516338007818,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9429777777777777,0.952616434670789,0.62,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_3,matched_kmeans,logistic,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8208333333333333,0.8449784295869367,0.3566666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.95,release_3,matched_kmeans,random_forest,600,60,2,93,3.225806451612903,1.0,1,61,83,0.9032258064516129,0.9032258064516129,0.7189780626346683,0.0,0.9920164391431798,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8437833333333333,0.8700024673954649,0.49333333333333335,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_1,granular_ball,logistic,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9453666666666667,0.9555799337025064,0.6666666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_1,granular_ball,random_forest,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9554222222222221,0.9646288907887691,0.75,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_1,matched_kmeans,logistic,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8227111111111112,0.8340013883795309,0.33666666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_1,matched_kmeans,random_forest,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8788777777777779,0.889910946962652,0.45,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_2,granular_ball,logistic,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9628555555555556,0.9665260003363889,0.7,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_2,granular_ball,random_forest,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9696611111111112,0.9749737921768734,0.7766666666666666,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_2,matched_kmeans,logistic,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8477777777777779,0.8655980287744853,0.3933333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_2,matched_kmeans,random_forest,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8757555555555555,0.8908721978058723,0.45,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_3,granular_ball,logistic,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9632888888888889,0.967143471239779,0.69,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_3,granular_ball,random_forest,600,60,2,103,2.912621359223301,2.0,1,26,50,0.6699029126213593,0.883495145631068,2.7901842121992746,1.220007052288324,0.9524271844660194,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.9687444444444444,0.9746468313271517,0.7833333333333333,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_3,matched_kmeans,logistic,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8463333333333334,0.8641439032979378,0.38,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,2,0.99,release_3,matched_kmeans,random_forest,600,60,2,103,2.912621359223301,1.0,1,58,93,0.912621359223301,0.912621359223301,0.6414896512760928,0.0,0.9926643623342477,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.8736444444444443,0.8899363190051841,0.4766666666666667,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,13,0.7,release_1,granular_ball,logistic,600,60,2,10,30.0,1.0,1,119,6,0.6,0.6,3.040654256939747,0.0,0.9611870196559282,1.0,0.9540942928039703,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6415666666666667,0.6319363725150255,0.06333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,13,0.7,release_1,granular_ball,random_forest,600,60,2,10,30.0,1.0,1,119,6,0.6,0.6,3.040654256939747,0.0,0.9611870196559282,1.0,0.9540942928039703,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.5992,0.614950644695778,0.05333333333333334,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,13,0.7,release_1,matched_kmeans,logistic,600,60,2,10,30.0,1.0,1,173,8,0.8,0.8,1.3946283975517932,0.0,0.9364307572740078,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6346666666666667,0.6322606572599836,0.056666666666666664,nan
confirm_d60_redundant0_noise0.05,controlled_gaussian_mixture_confirmation,13,0.7,release_1,matched_kmeans,random_forest,600,60,2,10,30.0,1.0,1,173,8,0.8,0.8,1.3946283975517932,0.0,0.9364307572740078,1.0,1.0,1.0,2.0,5.0,0.3,3,60,0.0,0.05,0.6125722222222222,0.6118364468818019,0.06666666666666667,nan
