dataset,source,seed,threshold,release,method,attack,n,d,classes,number_of_balls,mean_ball_size,median_ball_size,min_ball_size,max_ball_size,singleton_count,fraction_size_le_2,fraction_size_le_5,mean_radius,median_radius,purity_mean,purity_median,purity_q25,purity_q75,base_dataset,training_label_noise,intervention,roc_auc,pr_auc,tpr_at_1pct_fpr,tpr_at_0_1pct_fpr
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_1,matched_kmeans,logistic,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6793639053254438,0.6181064166493327,0.0,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_1,matched_kmeans,random_forest,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6388221153846153,0.6496288569966437,0.16346153846153846,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_2,granular_ball,logistic,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.6608727810650886,0.6908559409651112,0.125,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_2,granular_ball,random_forest,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.6621671597633136,0.6495409967847254,0.07692307692307693,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_2,matched_kmeans,logistic,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6643860946745562,0.5996803331247681,0.009615384615384616,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_2,matched_kmeans,random_forest,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6519045857988166,0.6274018647517372,0.0673076923076923,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_3,granular_ball,logistic,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.6424741124260355,0.6644107896811602,0.09615384615384616,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_3,granular_ball,random_forest,208,60,2,8,13.0,12.0,2,24,0,0.125,0.125,5.220399381496877,4.937941269058585,0.7380473692973694,0.7113095238095238,0.70625,0.7762237762237763,sonar,0.05,member_training_labels_only,0.637389053254438,0.6397430320888968,0.11538461538461539,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_3,matched_kmeans,logistic,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6848187869822485,0.6409453125245232,0.009615384615384616,nan
semi_sonar_trainnoise0.05,UCI id=151 via ucimlrepo,13,0.7,release_3,matched_kmeans,random_forest,208,60,2,8,13.0,10.0,4,32,0,0.0,0.25,5.920774713797003,5.532459867631276,0.7589657738095239,0.7410714285714286,0.5958333333333333,0.90625,sonar,0.05,member_training_labels_only,0.6458025147928993,0.6228364766114968,0.04807692307692308,nan
