dataset,seed,method,target_coverage,risk_train,risk_cal,risk_laplace,risk_wilson,coverage_train,coverage_cal,cal_minus_train_risk,laplace_minus_train_risk,wilson_minus_train_risk
wine,1,gb_adaptive_parameter_free,0.8,0.04,0.0,0.0,0.0588235294117647,1.0,0.84,-0.04,-0.04,0.018823529411764697
wine,1,gb_adaptive_parameter_free,0.9,0.04,0.0434782608695651,0.0434782608695651,0.0434782608695651,1.0,0.92,0.0034782608695650974,0.0034782608695650974,0.0034782608695650974
wine,1,gb_fixed_p090,0.8,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,1.0,1.0,0.0,0.0,0.0
wine,1,gb_fixed_p090,0.9,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.0588235294117647,1.0,1.0,0.0,0.0,0.0
wine,7,gb_adaptive_parameter_free,0.8,0.0434782608695651,0.05,0.05,0.0555555555555555,1.0,0.8695652173913043,0.0065217391304349046,0.0065217391304349046,0.012077294685990399
wine,7,gb_adaptive_parameter_free,0.9,0.0434782608695651,0.0434782608695651,0.0434782608695651,0.0434782608695651,1.0,1.0,0.0,0.0,0.0
wine,7,gb_fixed_p090,0.8,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,1.0,1.0,0.0,0.0,0.0
wine,7,gb_fixed_p090,0.9,0.0277777777777777,0.0277777777777777,0.0277777777777777,0.0277777777777777,1.0,1.0,0.0,0.0,0.0
wine,21,gb_adaptive_parameter_free,0.8,0.0333333333333333,0.037037037037037,0.037037037037037,0.0357142857142857,1.0,0.9,0.003703703703703702,0.003703703703703702,0.0023809523809524002
wine,21,gb_adaptive_parameter_free,0.9,0.0333333333333333,0.0357142857142857,0.0357142857142857,0.0357142857142857,1.0,0.9333333333333332,0.0023809523809524002,0.0023809523809524002,0.0023809523809524002
wine,21,gb_fixed_p090,0.8,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,1.0,0.0,0.0,0.0
wine,21,gb_fixed_p090,0.9,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,1.0,1.0,0.0,0.0,0.0
