experiment_id,seed,collusion_strength,drift,malicious_ratio,method,n_auditors,n_groups,additional_audit_cost,decision_delay,false_rejection_rate,false_trust_rate,final_audit_accuracy,malicious_auprc,malicious_auroc
multi-auditor-v1-s1,1,1.0,0.0,0.3,tree_partition,20,5.0,0.0,1.4932940908201648,0.0,0.5,0.9833333333333333,0.6782051282051282,0.7261904761904763
multi-auditor-v1-s1,1,1.0,0.0,0.3,weighted_majority,20,,0.0,1.5040625484513896,0.07142857142857142,0.5,0.99,0.7053872053872055,0.7261904761904762
multi-auditor-v1-s7,7,1.0,0.0,0.3,beta_reputation,20,,0.0,1.5689665055897815,0.0,0.5,0.99,0.7070707070707072,0.7261904761904763
multi-auditor-v1-s7,7,1.0,0.0,0.3,dawid_skene,20,,0.0,1.5689665055897815,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s7,7,1.0,0.0,0.3,gb_three_way,20,3.0,0.0,1.6013328690027502,0.0,0.5,0.99,0.65,0.75
multi-auditor-v1-s7,7,1.0,0.0,0.3,granular_ball,20,3.0,0.0,1.5689665055897815,0.0,0.5,0.97,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s7,7,1.0,0.0,0.3,kmeans_trust,20,3.0,0.0,1.5689665055897815,0.0,0.5,0.97,0.6764705882352942,0.8035714285714286
multi-auditor-v1-s7,7,1.0,0.0,0.3,knn_competence,20,,0.0,1.5689665055897815,0.0,0.5,0.99,0.7070707070707072,0.7261904761904763
multi-auditor-v1-s7,7,1.0,0.0,0.3,majority_vote,20,,0.0,1.5689665055897815,0.0,1.0,0.89,0.3,0.5
multi-auditor-v1-s7,7,1.0,0.0,0.3,tree_partition,20,3.0,0.0,1.5689665055897815,0.0,0.5,0.99,0.65,0.6785714285714286
multi-auditor-v1-s7,7,1.0,0.0,0.3,weighted_majority,20,,0.0,1.6013328690027502,0.07142857142857142,0.5,0.9933333333333333,0.7070707070707071,0.7261904761904763
multi-auditor-v1-s21,21,1.0,0.0,0.3,beta_reputation,20,,0.0,1.4236197719465566,0.0,0.5,0.9766666666666667,0.6717171717171717,0.6726190476190477
multi-auditor-v1-s21,21,1.0,0.0,0.3,dawid_skene,20,,0.0,1.4236197719465566,0.0,0.0,1.0,1.0,1.0
multi-auditor-v1-s21,21,1.0,0.0,0.3,gb_three_way,20,2.0,0.0,1.4900704660485418,0.0,0.5,0.9833333333333333,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.0,0.3,granular_ball,20,2.0,0.0,1.4236197719465566,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.0,0.3,kmeans_trust,20,2.0,0.0,1.4236197719465566,0.0,0.5,0.97,0.65,0.75
multi-auditor-v1-s21,21,1.0,0.0,0.3,knn_competence,20,,0.0,1.4236197719465566,0.0,0.5,0.9766666666666667,0.6717171717171717,0.6726190476190477
